"userName","getProfile.handle","payment"
"dirtyboygrease","bigrigbojack",450000
"thiefofcheese","thiefofcheese",4e+05
"zeburgs","pbeburgs",450000
"jlutz14","jkl14pbe",3e+05
"Atox","nathanmeagher1",450000
"SimmiZ","biglund82",6e+05
"ValorX77","japanshl",150000
"Arctic","graysonyates9",450000
"jbay7","jarrodlakemore",6e+05
"ItsFrenchie","dmartyshl",6e+05
"minaj27","alexminaj27",6e+05
"alemanpete","alemanpete68",350000
"downer","stlmattjohnson",3e+05
"AnUnoriginalGuy","the_reignmaker",150000
"Esk","calkono",4e+05
"Tony Hawkey","snakeandbake2",150000
"JR95","jrobinsonshl",150000
"NYR73","nyr_73",150000
